PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,231060,01/01/1999 16:00:00,,2,9,13,15,18,19,20,21,25,26,31,35,38,48,50,57,58,60,61,64
KENO,231061,01/01/1999 16:05:00,,8,10,11,12,15,22,26,36,40,45,47,60,63,64,72,73,74,75,76,77
KENO,231062,01/01/1999 16:10:00,,6,9,13,14,27,28,31,38,40,42,43,46,55,57,59,61,68,72,74,75
KENO,231063,01/01/1999 16:15:00,,1,3,5,11,12,15,22,25,28,32,37,41,45,46,48,58,62,70,78,79
KENO,231064,01/01/1999 16:20:00,,1,5,7,10,13,20,23,28,29,31,34,42,57,59,67,68,70,75,78,80
KENO,231065,01/01/1999 16:25:00,,6,12,15,20,21,23,26,29,35,38,41,44,45,47,51,56,57,60,68,71
KENO,231066,01/01/1999 16:30:00,,1,3,10,12,21,37,43,46,50,52,53,54,58,59,61,68,73,74,75,79
KENO,231067,01/01/1999 16:35:00,,3,5,7,9,14,19,22,23,24,25,27,32,38,40,45,48,49,60,66,67
KENO,231068,01/01/1999 16:40:00,,1,5,7,10,18,21,24,27,30,38,50,51,53,54,61,63,64,69,73,79
KENO,231069,01/01/1999 16:45:00,,7,8,9,14,22,28,29,31,50,54,57,61,63,64,67,70,71,73,75,79
KENO,231070,01/01/1999 16:50:00,,3,7,8,19,25,27,28,34,35,36,44,47,59,64,67,70,71,74,75,79
KENO,231071,01/01/1999 16:55:00,,3,9,10,14,15,23,25,36,37,38,40,44,45,50,56,61,63,68,79,80
KENO,231072,01/01/1999 17:00:00,,4,7,10,11,14,25,28,29,38,40,43,53,55,56,57,59,60,64,68,72
KENO,231073,01/01/1999 17:05:00,,2,5,6,20,22,25,26,30,34,37,46,49,50,53,55,61,63,66,75,80
KENO,231074,01/01/1999 17:10:00,,5,8,10,11,12,24,29,32,33,40,41,42,46,51,53,56,58,59,68,80
KENO,231075,01/01/1999 17:15:00,,2,12,16,21,22,24,26,27,40,41,48,49,54,55,66,68,73,76,79,80
KENO,231076,01/01/1999 17:20:00,,1,3,6,8,12,15,24,28,35,45,50,53,55,56,57,59,61,62,75,77
KENO,231077,01/01/1999 17:25:00,,2,7,9,10,19,24,25,28,34,37,51,54,57,61,62,65,66,68,76,77
KENO,231078,01/01/1999 17:30:00,,9,12,16,17,19,21,22,37,44,45,49,52,53,55,56,57,60,65,74,76
KENO,231079,01/01/1999 17:35:00,,10,11,12,18,19,31,36,37,40,48,53,55,64,66,70,72,73,74,79,80
KENO,231080,01/01/1999 17:40:00,,2,5,6,10,15,18,26,27,30,37,43,47,48,55,60,66,67,69,72,79
KENO,231081,01/01/1999 17:45:00,,1,4,10,18,21,25,28,33,34,42,46,49,51,62,65,69,70,75,76,77
KENO,231082,01/01/1999 17:50:00,,4,5,7,12,14,17,19,25,26,34,35,43,46,51,54,56,60,62,63,65
KENO,231083,01/01/1999 17:55:00,,8,11,18,24,27,28,29,30,36,45,47,53,54,55,60,67,69,71,76,78
KENO,231084,01/01/1999 18:00:00,,1,5,12,13,19,22,27,35,36,38,39,45,47,53,54,67,70,74,76,78
KENO,231085,01/01/1999 18:05:00,,1,5,7,9,13,14,16,19,21,33,39,46,50,53,55,60,66,68,71,75
KENO,231086,01/01/1999 18:10:00,,1,15,22,25,28,29,32,33,37,39,40,50,54,58,60,61,65,71,79,80
KENO,231087,01/01/1999 18:15:00,,3,6,7,13,14,16,17,22,23,29,47,48,49,51,60,61,67,72,75,78
KENO,231088,01/01/1999 18:20:00,,3,6,14,21,28,33,34,35,45,48,51,53,61,64,67,68,69,70,77,80
KENO,231089,01/01/1999 18:25:00,,3,6,7,11,13,14,16,17,31,37,45,46,47,51,56,60,71,73,74,80
KENO,231090,01/01/1999 18:30:00,,5,9,11,16,22,27,29,33,35,37,42,50,58,64,67,73,75,77,79,80
KENO,231091,01/01/1999 18:35:00,,1,4,8,14,18,23,27,32,33,35,37,39,41,44,45,50,61,68,71,77
KENO,231092,01/01/1999 18:40:00,,5,15,19,21,23,25,26,27,35,44,45,48,53,54,60,64,67,69,73,80
KENO,231093,01/01/1999 18:45:00,,1,6,8,10,12,13,19,23,26,34,37,42,43,47,51,57,64,67,72,79
KENO,231094,01/01/1999 18:50:00,,5,8,9,10,12,16,21,22,27,29,38,47,50,52,54,65,68,72,77,79
KENO,231095,01/01/1999 18:55:00,,1,2,8,11,16,19,22,26,28,34,35,37,43,46,48,52,54,59,71,73
KENO,231096,01/01/1999 19:00:00,,2,20,21,29,30,33,34,35,37,41,43,47,50,56,61,62,69,75,79,80
KENO,231097,01/01/1999 19:05:00,,1,2,3,5,6,8,15,31,33,34,47,48,50,56,59,61,64,67,70,74
KENO,231098,01/01/1999 19:10:00,,1,15,16,18,21,24,26,27,35,37,44,45,47,55,56,60,64,65,68,70
KENO,231099,01/01/1999 19:15:00,,1,4,5,8,9,11,12,15,16,21,27,33,39,40,45,46,51,52,59,67
KENO,231100,01/01/1999 19:20:00,,5,7,9,13,16,17,20,31,37,46,50,51,53,54,55,59,62,65,69,75
KENO,231101,01/01/1999 19:25:00,,5,8,9,10,11,14,24,27,31,32,35,38,41,42,54,56,61,69,75,80
KENO,231102,01/01/1999 19:30:00,,2,8,14,15,20,23,25,28,29,32,34,43,44,52,63,64,70,71,75,80
KENO,231103,01/01/1999 19:35:00,,1,14,18,24,25,26,27,35,44,48,51,56,57,60,61,62,72,74,76,80
KENO,231104,01/01/1999 19:40:00,,1,2,4,6,9,11,12,15,17,26,34,35,41,42,47,52,54,55,63,80
KENO,231105,01/01/1999 19:45:00,,10,11,19,21,23,26,33,35,39,42,46,49,51,58,60,64,65,67,74,77
KENO,231106,01/01/1999 19:50:00,,14,16,31,40,43,44,47,49,51,52,62,64,65,67,68,69,73,74,76,77
KENO,231107,01/01/1999 19:55:00,,3,7,16,20,27,31,32,34,36,42,44,49,55,59,60,65,69,73,79,80
KENO,231108,01/01/1999 20:00:00,,1,3,6,8,11,13,14,15,22,34,37,39,43,45,47,55,58,65,68,70
KENO,231109,01/01/1999 20:05:00,,1,3,9,10,12,13,14,21,26,30,34,36,41,48,53,55,58,62,68,80
KENO,231110,01/01/1999 20:10:00,,4,9,11,16,18,19,20,24,27,37,44,47,50,51,54,56,63,65,66,76
KENO,231111,01/01/1999 20:15:00,,4,7,14,21,23,25,30,32,36,37,41,42,51,61,63,64,67,68,75,80
KENO,231112,01/01/1999 20:20:00,,3,10,14,24,26,27,28,32,33,36,40,42,48,50,57,58,62,63,64,70
KENO,231113,01/01/1999 20:25:00,,9,11,14,17,22,24,28,33,36,40,42,49,52,63,64,69,74,78,79,80
KENO,231114,01/01/1999 20:30:00,,7,11,12,14,15,18,30,33,36,37,41,45,49,57,58,59,64,69,70,77
KENO,231115,01/01/1999 20:35:00,,2,3,5,6,7,12,22,27,29,35,40,42,43,54,60,61,65,68,73,79
KENO,231116,01/01/1999 20:40:00,,7,14,16,17,20,21,24,35,43,48,49,53,59,64,65,71,74,77,78,79
KENO,231117,01/01/1999 20:45:00,,2,4,10,16,19,22,23,26,28,32,37,42,45,49,50,51,56,64,67,69
KENO,231118,01/01/1999 20:50:00,,2,8,11,13,19,21,33,36,42,44,49,50,54,55,56,60,73,77,78,80
KENO,231119,01/01/1999 20:55:00,,3,6,15,18,27,43,44,45,48,49,51,52,62,68,69,70,71,76,78,79
KENO,231120,01/01/1999 21:00:00,,4,7,11,16,20,24,30,31,38,43,44,45,47,50,63,65,66,72,76,77
KENO,231121,01/01/1999 21:05:00,,8,12,15,17,19,21,26,27,28,35,38,40,45,49,52,66,69,73,75,77
KENO,231122,01/01/1999 21:10:00,,5,8,14,26,27,30,38,40,43,45,48,52,62,68,70,72,73,75,79,80
KENO,231123,01/01/1999 21:15:00,,7,10,11,13,14,20,23,28,32,35,37,42,44,60,64,68,73,74,75,80
KENO,231124,01/01/1999 21:20:00,,8,13,19,20,29,30,34,35,37,38,42,45,50,56,60,61,63,67,68,78
KENO,231125,01/01/1999 21:25:00,,2,3,8,17,19,26,37,42,43,52,55,56,59,64,65,71,73,76,77,78
KENO,231126,01/01/1999 21:30:00,,2,5,6,10,12,17,21,23,31,35,37,45,47,50,57,64,65,70,71,74
KENO,231127,01/01/1999 21:35:00,,8,13,14,15,18,19,27,28,31,32,34,40,41,51,64,65,67,71,73,74
KENO,231128,01/01/1999 21:40:00,,4,7,8,15,21,25,27,29,36,37,43,52,54,59,60,64,65,75,76,80
KENO,231129,01/01/1999 21:45:00,,5,6,7,9,11,12,16,22,23,30,31,36,39,40,42,45,46,61,74,80
KENO,231130,01/01/1999 21:50:00,,2,7,10,15,19,24,25,26,29,31,35,37,38,44,45,47,64,74,75,78
KENO,231131,01/01/1999 21:55:00,,1,12,13,18,21,23,27,31,34,38,39,42,43,56,58,59,67,74,77,79
KENO,231132,01/01/1999 22:00:00,,2,4,5,9,16,32,36,38,46,47,57,60,63,64,65,69,70,71,78,80
KENO,231133,01/01/1999 22:05:00,,2,6,7,14,22,23,28,34,35,36,42,43,49,54,55,56,62,66,68,74
KENO,231134,01/01/1999 22:10:00,,2,14,15,22,23,26,27,31,35,36,41,43,44,45,50,60,66,70,72,78
KENO,231135,01/01/1999 22:15:00,,3,5,6,15,16,19,20,25,35,41,50,51,53,57,59,60,65,70,72,73
KENO,231136,01/01/1999 22:20:00,,1,3,11,13,16,18,21,22,27,34,35,41,51,52,58,59,62,70,72,78
KENO,231137,01/01/1999 22:25:00,,1,4,6,7,8,9,10,15,22,24,28,37,38,50,55,56,58,67,70,75
KENO,231138,01/01/1999 22:30:00,,4,5,6,7,9,11,13,14,17,27,30,41,42,49,53,54,55,61,70,72
KENO,231139,01/01/1999 22:35:00,,2,14,20,24,25,35,38,39,42,44,45,47,54,70,72,74,75,76,77,79
KENO,231140,01/01/1999 22:40:00,,2,6,14,15,28,29,35,36,41,45,58,61,62,63,69,71,77,78,79,80
KENO,231141,01/01/1999 22:45:00,,2,5,6,9,13,14,17,21,22,24,33,47,48,52,56,57,63,65,66,72
KENO,231142,01/01/1999 22:50:00,,6,8,11,17,20,21,24,29,31,33,39,50,53,55,58,65,66,74,75,80
KENO,231143,01/01/1999 22:55:00,,1,3,4,9,12,17,19,20,27,32,37,42,46,49,60,67,70,76,78,80
KENO,231144,01/01/1999 23:00:00,,5,6,11,13,21,22,23,29,34,36,44,46,49,51,52,68,69,71,73,75
KENO,231145,01/01/1999 23:05:00,,15,17,20,22,32,36,37,39,41,42,43,45,49,53,54,57,58,59,61,63
KENO,231146,01/01/1999 23:10:00,,3,4,5,8,11,13,16,34,46,49,50,56,63,65,66,75,76,77,78,80
KENO,231147,01/01/1999 23:15:00,,3,7,10,12,13,16,19,21,24,26,29,47,52,55,59,62,76,77,79,80
KENO,231148,01/01/1999 23:20:00,,1,2,3,12,13,16,18,19,20,29,30,33,38,40,44,45,49,54,60,67
KENO,231149,01/01/1999 23:25:00,,2,6,12,20,22,23,26,28,29,33,36,40,41,47,53,54,63,65,70,79
KENO,231150,01/01/1999 23:30:00,,9,23,24,25,27,30,35,37,42,47,48,50,52,53,54,57,58,62,66,68
KENO,231151,02/01/1999 6:30:00,,7,10,19,24,25,30,31,32,35,38,51,52,54,58,61,64,66,72,77,80
KENO,231152,02/01/1999 6:35:00,,2,3,4,5,10,15,23,24,30,34,43,52,59,61,64,65,68,72,74,80
KENO,231153,02/01/1999 6:40:00,,4,8,9,10,22,25,30,38,41,42,46,49,51,53,62,63,66,68,72,77
KENO,231154,02/01/1999 6:45:00,,5,9,11,16,24,32,35,36,42,45,47,48,49,53,60,61,64,68,69,72
KENO,231155,02/01/1999 6:50:00,,4,7,14,18,23,26,35,39,41,42,44,49,55,59,66,68,70,71,74,80
KENO,231156,02/01/1999 6:55:00,,9,10,11,16,17,18,23,32,36,37,39,43,44,53,57,62,66,67,74,78
KENO,231157,02/01/1999 7:00:00,,2,5,7,11,13,16,22,23,25,28,34,39,46,49,51,52,61,62,74,75
KENO,231158,02/01/1999 7:05:00,,11,22,24,25,29,33,41,43,44,52,53,54,55,56,59,60,65,66,69,71
KENO,231159,02/01/1999 7:10:00,,8,12,14,16,18,21,24,29,34,35,50,52,55,57,64,66,67,68,71,74
