"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2307258,="14/07/2018 21:52:30",1.5,1,8,12,14,17,19,25,26,27,31,34,36,40,43,44,50,51,66,74,80
"KENO",2307259,="14/07/2018 21:56:00",1.5,8,10,14,21,26,27,28,32,38,39,41,44,52,53,57,62,67,69,70,78
"KENO",2307260,="14/07/2018 21:59:30",1.5,1,3,4,9,12,20,28,30,31,34,37,42,48,50,61,68,74,76,77,78
"KENO",2307261,="14/07/2018 22:03:00",1.5,3,7,8,15,17,20,21,32,36,37,42,47,51,52,54,55,57,58,69,79
"KENO",2307262,="14/07/2018 22:06:30",2.0,5,9,23,26,29,32,33,34,36,38,40,42,43,50,54,60,62,64,72,79
"KENO",2307263,="14/07/2018 22:10:00",1.5,2,6,12,16,18,23,24,25,29,37,44,46,47,50,53,59,69,70,74,77
"KENO",2307264,="14/07/2018 22:13:30",2.0,5,11,17,18,24,32,37,39,41,44,45,55,57,60,61,64,67,73,75,78
"KENO",2307265,="14/07/2018 22:17:00",2.0,6,11,15,16,17,25,26,30,39,42,50,53,58,64,67,69,71,72,74,80
"KENO",2307266,="14/07/2018 22:20:30",2.0,3,11,16,25,31,38,39,42,47,48,57,60,64,65,66,68,70,76,79,80
"KENO",2307267,="14/07/2018 22:24:00",1.5,8,12,16,18,27,31,34,37,40,44,45,47,49,52,56,61,62,66,69,74
"KENO",2307268,="14/07/2018 22:27:30",1.5,3,5,9,13,14,16,22,24,25,29,33,36,38,46,52,61,75,77,78,79
"KENO",2307269,="14/07/2018 22:31:00",1.5,4,11,13,17,19,25,30,33,45,50,51,54,55,56,58,70,72,75,76,77
"KENO",2307270,="14/07/2018 22:34:30",2.0,3,11,31,35,36,37,39,42,45,47,48,49,51,52,55,56,59,63,69,80
"KENO",2307271,="14/07/2018 22:38:00",2.0,7,8,10,14,17,24,26,29,30,31,50,52,53,55,59,60,62,68,70,71
"KENO",2307272,="14/07/2018 22:41:30",1.5,10,13,14,21,22,23,32,36,37,52,55,56,58,59,60,63,66,67,70,75
