"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2243476,="02/02/2018 0:19:30",2.0,2,6,10,20,22,24,28,32,36,38,39,40,42,46,50,53,57,62,63,76
"KENO",2243477,="02/02/2018 0:23:00",1.5,7,8,10,11,18,19,22,28,31,32,42,46,50,55,59,61,62,64,70,78
"KENO",2243478,="02/02/2018 0:26:30",1.5,4,5,13,17,21,22,24,27,30,42,45,53,57,60,62,69,70,72,79,80
"KENO",2243479,="02/02/2018 0:30:00",1.5,3,8,12,22,31,32,33,36,44,45,48,51,52,53,57,59,66,71,76,80
"KENO",2243480,="02/02/2018 0:33:30",1.5,5,10,12,21,23,24,26,29,31,36,39,44,49,50,51,54,55,59,66,71
"KENO",2243481,="02/02/2018 0:37:00",1.5,3,8,14,15,18,20,21,26,36,37,41,48,50,53,57,60,64,65,70,77
"KENO",2243482,="02/02/2018 0:40:30",1.5,4,5,7,15,16,18,20,24,30,34,37,38,45,46,53,63,73,74,76,77
"KENO",2243483,="02/02/2018 0:44:00",2.0,4,5,7,8,19,34,41,43,46,50,51,52,54,55,62,67,72,73,76,78
"KENO",2243484,="02/02/2018 0:47:30",2.0,8,9,13,15,16,19,24,26,36,42,44,49,50,63,64,65,67,74,79,80
"KENO",2243485,="02/02/2018 0:51:00",1.5,1,6,16,19,23,29,34,35,39,40,42,54,57,58,59,62,64,71,76,77
"KENO",2243486,="02/02/2018 0:54:30",1.5,3,17,22,30,34,35,39,40,42,43,44,48,52,53,58,61,65,72,74,75
"KENO",2243487,="02/02/2018 0:58:00",1.5,2,7,9,10,14,19,22,25,26,29,32,40,50,53,54,60,61,73,76,79
"KENO",2243488,="02/02/2018 1:01:30",2.0,5,11,12,20,22,23,27,35,36,41,58,60,62,63,66,71,72,73,74,77
"KENO",2243489,="02/02/2018 1:05:00",1.5,5,6,8,12,14,15,17,28,29,30,37,40,44,49,52,66,67,72,78,80
"KENO",2243490,="02/02/2018 1:08:30",1.5,3,4,6,13,17,21,23,27,32,34,45,50,55,63,65,67,72,74,75,79
"KENO",2243491,="02/02/2018 1:12:00",1.5,10,22,25,29,36,43,44,45,47,52,53,55,59,60,63,70,75,76,79,80
"KENO",2243492,="02/02/2018 1:15:30",2.0,1,6,11,12,18,21,26,30,33,39,40,42,43,48,49,56,58,62,66,77
"KENO",2243493,="02/02/2018 1:19:00",1.5,5,8,13,14,15,17,24,27,28,29,31,37,38,57,68,72,74,75,79,80
"KENO",2243494,="02/02/2018 1:22:30",1.5,2,5,7,10,11,14,15,16,17,26,30,31,36,37,42,54,55,56,62,67
"KENO",2243495,="02/02/2018 1:26:00",1.5,10,16,17,23,30,31,39,41,45,46,47,52,57,58,60,61,65,68,74,80
"KENO",2243496,="02/02/2018 1:29:30",2.0,3,14,16,24,26,31,32,34,36,38,41,48,49,50,55,59,67,68,75,77
"KENO",2243497,="02/02/2018 1:33:00",1.5,4,7,12,14,18,20,24,35,38,41,42,44,54,55,63,64,68,69,76,77
"KENO",2243498,="02/02/2018 1:36:30",1.5,2,13,25,30,33,34,38,42,43,57,60,61,62,64,65,67,69,75,76,77
"KENO",2243499,="02/02/2018 1:40:00",2.0,9,12,21,25,29,31,32,34,36,39,40,48,50,56,66,67,68,70,76,79
"KENO",2243500,="02/02/2018 1:43:30",2.0,3,4,7,9,15,20,32,34,37,38,39,52,60,65,67,68,70,71,78,79
"KENO",2243501,="02/02/2018 1:47:00",2.0,5,7,8,12,14,17,18,22,27,29,31,45,47,57,58,63,64,68,71,78
"KENO",2243502,="02/02/2018 1:50:30",2.0,4,9,12,14,15,16,17,18,28,31,32,33,37,38,47,61,62,66,73,76
"KENO",2243503,="02/02/2018 1:54:00",1.5,7,13,15,16,17,18,21,24,26,33,36,39,43,49,61,63,72,75,77,78
"KENO",2243504,="02/02/2018 1:57:30",1.5,1,2,3,8,11,23,29,32,37,39,44,46,47,48,52,53,68,72,77,78
"KENO",2243505,="02/02/2018 2:01:00",1.5,2,7,9,12,13,14,15,16,19,21,22,28,34,51,53,58,59,61,69,75
"KENO",2243506,="02/02/2018 2:04:30",1.5,1,8,14,18,20,28,29,30,39,42,43,45,48,50,54,57,74,75,76,77
"KENO",2243507,="02/02/2018 2:08:00",2.0,4,5,19,32,38,40,41,42,45,47,51,55,58,61,62,68,71,72,76,79
"KENO",2243508,="02/02/2018 2:11:30",1.5,2,5,17,18,23,29,31,32,34,41,43,46,48,50,53,54,63,74,77,79
"KENO",2243509,="02/02/2018 2:15:00",2.0,1,3,14,17,19,20,21,22,27,34,35,37,39,47,50,54,63,67,76,80
"KENO",2243510,="02/02/2018 2:18:30",5.0,1,6,8,9,14,19,33,39,41,42,47,48,49,57,60,68,69,71,74,75
"KENO",2243511,="02/02/2018 2:22:00",1.5,1,4,11,12,17,19,34,38,44,46,49,50,53,58,65,69,75,76,77,79
"KENO",2243512,="02/02/2018 2:25:30",2.0,2,16,23,24,28,33,35,36,37,42,47,51,55,56,58,63,69,70,71,75
"KENO",2243513,="02/02/2018 2:29:00",2.0,11,13,16,18,21,27,37,40,43,44,45,46,53,54,60,65,68,75,76,80
"KENO",2243514,="02/02/2018 2:32:30",1.5,8,9,12,19,21,24,29,34,46,49,51,54,59,61,63,65,68,75,76,78
"KENO",2243515,="02/02/2018 2:36:00",2.0,9,11,13,19,29,33,34,38,47,50,53,59,60,61,65,68,69,71,72,75
"KENO",2243516,="02/02/2018 2:39:30",2.0,2,5,6,11,14,21,24,25,26,29,30,36,47,56,58,61,62,68,70,71
"KENO",2243517,="02/02/2018 2:43:00",2.0,7,15,17,21,26,29,32,34,42,43,45,46,50,54,66,67,69,71,72,78
"KENO",2243518,="02/02/2018 2:46:30",2.0,1,5,9,10,13,14,24,25,33,34,39,48,50,53,58,66,71,74,75,79
